Geneid	NM001	NM002	NM003	NM004	NM005	TB001	TB002	TB003	TB004	TB005	AD001	AD002	AD003	AD004	AD005	SA001	SA002	SA003	SA004	SA005
ENSG00000278376	26	14	17	26	46	12	25	28	9	17	9	25	7	6	8	36	8	7	4	3
ENSG00000254478	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSG00000254621	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000201535	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000160683	1	1	2	0	0	20	1	6	8	2	59	2	9	0	0	6	14	12	0	2
ENSG00000245869	0	0	2	1	0	2	2	2	7	0	2	0	1	0	2	0	3	8	0	0
ENSG00000186174	1474	1392	1394	622	1455	1609	1847	1023	1527	1515	1699	2958	634	356	2762	1223	1277	370	686	1215
ENSG00000264211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110375	10	2	2	0	5	1	3	3	2	0	3	5	1	106	23	0	0	12	2	1
ENSG00000239726	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2
ENSG00000222529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176302	0	1	0	0	1	0	0	1	1	0	4	0	0	0	0	0	0	28	0	0
ENSG00000280502	1	1	0	0	0	0	0	1	1	2	0	0	3	0	1	2	1	2	1	1
ENSG00000283691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255121	21	15	14	21	24	15	20	4	19	17	25	41	27	6	12	6	23	5	10	27
ENSG00000186166	162	130	157	199	188	135	443	240	221	157	344	278	257	163	189	277	208	89	257	377
ENSG00000240970	9	8	2	3	8	5	19	12	10	6	22	4	3	13	7	8	7	7	21	34
ENSG00000254428	11	8	6	8	10	5	38	20	6	8	46	6	16	8	16	16	16	11	32	45
ENSG00000254909	6	2	0	3	5	1	17	7	11	10	17	1	0	0	4	4	4	0	18	20
ENSG00000118181	6522	6169	10399	18696	7375	6667	7412	7068	6816	7712	6482	10002	7990	7664	9630	11969	10662	3406	4434	4556
ENSG00000196655	451	368	526	716	621	462	449	273	392	337	409	844	334	515	710	403	370	221	573	492
ENSG00000283704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137700	281	202	164	243	245	205	221	543	180	219	216	519	250	334	778	155	172	105	470	698
ENSG00000255114	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149428	1419	2274	1252	1142	1374	2065	818	452	2186	2021	3264	4265	2199	1106	3661	1633	2043	1066	4337	5294
ENSG00000271751	2	3	7	1	2	3	0	3	2	3	4	3	0	0	3	2	2	6	1	0
ENSG00000272186	2	1	0	1	4	2	2	4	1	0	1	12	6	2	1	6	3	3	0	6
ENSG00000160695	1260	1033	619	872	1064	1076	779	435	801	943	896	1246	557	383	815	968	845	360	965	981
ENSG00000256269	194	182	213	260	232	152	134	258	130	162	247	405	208	590	452	123	89	164	328	396
ENSG00000188486	401	684	1559	577	609	643	452	574	704	809	724	2123	1917	2605	1828	564	532	196	470	577
ENSG00000172269	383	372	257	273	292	360	327	122	441	394	635	817	352	339	794	405	375	173	629	732
ENSG00000172375	405	391	251	343	368	337	321	220	342	383	319	523	238	100	150	282	328	197	143	260
ENSG00000172273	327	192	238	425	240	182	273	164	204	200	292	405	252	305	328	225	165	183	138	246
ENSG00000172350	0	1	0	5	8	4	64	7	7	8	12	1	4	0	4	0	1	19	10	5
ENSG00000160703	499	471	225	345	497	391	530	657	346	443	401	805	313	300	975	422	292	223	381	607
ENSG00000172367	10	1	3	7	4	1	7	3	0	1	0	2	1	5	0	1	1	34	2	1
ENSG00000248712	117	24	75	75	37	27	45	17	30	22	29	24	16	36	9	15	73	107	10	21
ENSG00000110395	1060	956	604	448	724	1388	844	371	1188	799	1100	830	510	105	446	1030	869	430	457	810
ENSG00000222249	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000076706	1085	2695	1567	4380	3948	3068	9454	3062	2508	6222	2441	506	848	3997	1077	4316	2918	157	1176	3431
ENSG00000284148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252119	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000173456	596	465	243	293	490	486	305	159	351	386	448	829	561	354	918	380	251	121	368	459
ENSG00000245385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223953	1	0	0	2	3	1	5	2	1	0	0	0	1	0	1	2	1	2	0	1
ENSG00000235718	0	1	0	6	0	0	4	2	0	2	1	0	0	0	0	3	0	2	0	1
ENSG00000036672	130	917	72	26	104	63	53	1928	37	83	24	210	18	6	28	73	70	34	20	28
ENSG00000254740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000245248	12	9	2	6	7	3	4	5	3	5	3	3	8	0	2	8	6	21	14	10
ENSG00000254590	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0
ENSG00000254892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154096	157	2305	114	430	855	1132	4120	1417	1560	2282	2255	423	1755	604	1145	1415	673	124	288	1755
ENSG00000263873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255377	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000230716	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254561	1	1	1	1	0	0	0	0	0	1	0	2	1	0	0	0	3	22	0	0
ENSG00000110400	320	721	442	148	245	503	313	125	409	270	495	429	2384	227	17023	237	316	105	243	345
ENSG00000199217	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
ENSG00000255247	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	0	0
ENSG00000254854	0	3	7	0	1	2	1	0	0	3	1	3	12	0	7	2	0	3	1	1
ENSG00000254406	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	0
ENSG00000254863	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
ENSG00000255216	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
ENSG00000137699	426	44	240	52	187	101	4	0	65	33	222	38	3923	288	6278	59	425	261	53	42
ENSG00000176984	0	0	1	1	0	0	2	0	1	0	2	0	3	1	6	0	0	1	0	0
ENSG00000184232	245	1714	464	261	452	579	4816	2399	823	888	829	111	373	878	1140	704	451	171	155	260
ENSG00000137709	73	29	97	49	32	76	6	13	60	16	207	59	23	11	14	71	42	50	18	34
ENSG00000259541	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	2	0	0
ENSG00000181264	108	62	145	147	115	76	137	33	97	89	84	43	61	78	26	140	123	21	135	124
ENSG00000196914	5755	3130	3124	1990	3595	4632	2979	2360	3533	3041	3718	5650	1552	307	2355	4037	4874	351	3092	5635
ENSG00000274303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
ENSG00000149403	108	56	66	60	175	74	1	6	22	74	19	7	72	7	4	107	37	41	2	7
ENSG00000255006	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0
ENSG00000250493	0	1	1	1	5	0	0	0	0	2	0	0	1	0	0	0	1	34	3	1
ENSG00000254735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000154114	882	428	405	517	571	658	671	267	530	494	518	516	312	83	302	608	695	90	273	510
ENSG00000109927	31	29	12	11	33	27	34	21	30	42	25	28	16	3	3	26	26	13	16	27
ENSG00000254515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000109929	817	536	1034	1156	501	697	327	284	344	281	356	3746	387	392	611	413	667	51	440	442
ENSG00000232460	0	2	2	0	4	3	1	5	0	0	2	1	0	0	0	0	1	1	0	0
ENSG00000271022	0	0	0	2	0	0	0	0	0	0	1	0	2	1	0	1	0	2	0	0
ENSG00000246790	0	0	1	2	0	2	1	0	1	1	5	0	2	0	0	0	1	16	1	3
ENSG00000137642	1559	1943	1903	700	1047	2623	812	458	1492	1258	2124	3560	1148	72	530	1505	1642	3384	1314	1580
ENSG00000252556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255248	201	385	249	317	505	408	1264	411	256	287	226	17	85	72	120	425	303	61	149	218
ENSG00000207971	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
ENSG00000259571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
ENSG00000198975	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ENSG00000207994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255015	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0
ENSG00000255219	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3
ENSG00000252776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000253035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000223265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000254572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1
ENSG00000254935	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
ENSG00000154127	1193	762	1557	677	453	1050	122	122	323	621	273	157	124	216	391	285	357	340	118	215
ENSG00000239079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000109943	111	85	207	259	80	107	53	42	174	95	93	26	73	20	38	97	75	23	22	35
ENSG00000109944	294	168	180	158	243	158	174	92	145	114	108	52	44	46	137	185	211	45	108	227
ENSG00000199709	1	0	3	0	1	1	1	0	2	1	1	0	0	0	2	1	0	0	5	4
ENSG00000254944	37	17	15	12	20	25	18	3	17	13	17	0	3	1	3	13	16	0	7	12
ENSG00000188909	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0
ENSG00000213184	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	17	0	0
ENSG00000243669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0
ENSG00000244641	0	0	1	1	1	0	6	1	1	2	0	0	0	0	0	0	1	6	1	0
ENSG00000233541	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	7	0	0
ENSG00000109971	14623	14669	19426	18424	10506	18990	7966	12855	21251	13554	13961	27322	10200	13364	18311	11318	18025	5664	20851	18060
ENSG00000200879	3	0	1	1	0	0	3	0	5	1	4	0	4	2	0	3	10	10	1	2
ENSG00000207118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000202252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166250	370	943	228	306	626	757	1488	888	1160	714	642	84	337	325	1338	964	661	164	29	181
ENSG00000255342	0	0	0	0	0	2	2	0	3	1	0	0	3	1	4	1	0	5	0	4
ENSG00000254710	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0
ENSG00000200496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
ENSG00000254407	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000023171	134	160	76	115	80	322	84	52	274	188	214	58	113	140	51	153	143	160	94	142
ENSG00000265357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254449	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	1
ENSG00000166257	17	49	36	33	32	23	72	201	15	36	15	3	7	13	11	32	42	10	9	9
ENSG00000254467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSG00000166261	149	156	148	125	103	226	176	103	138	114	198	197	163	78	199	163	147	58	134	194
ENSG00000221931	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000200197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196099	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000254613	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000254430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000204300	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
ENSG00000181518	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0
ENSG00000171014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000181499	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000196248	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ENSG00000226461	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000254737	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236981	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234560	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182634	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000213182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2
ENSG00000186268	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
ENSG00000213181	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110002	914	869	277	554	858	521	455	214	720	596	722	878	197	1213	933	912	1168	377	1142	988
ENSG00000196403	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197309	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000239426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255425	0	0	0	0	0	3	0	1	3	0	0	0	0	0	0	1	0	0	0	0
ENSG00000181214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000276316	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
ENSG00000197849	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	0	0
ENSG00000255298	1	0	0	0	1	3	1	1	0	2	4	1	0	0	0	6	0	3	1	3
ENSG00000255116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196341	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	0	20	2	0
ENSG00000279116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254976	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ENSG00000255225	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	10	0	1
ENSG00000255030	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0
ENSG00000227737	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000229254	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
ENSG00000284680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000284609	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0
ENSG00000255048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197125	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000255510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229386	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000254646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000255315	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000254937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170953	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0
ENSG00000196119	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	23	0	4
ENSG00000255341	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000154143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0
ENSG00000154144	663	527	680	609	516	541	571	394	487	473	634	606	247	315	368	586	558	174	314	518
ENSG00000110013	897	605	428	547	535	915	457	337	609	456	1318	1204	167	223	873	779	624	92	1439	1352
ENSG00000200278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000064199	144	56	58	52	50	74	18	10	44	24	60	122	22	11	29	29	134	23	100	122
ENSG00000154146	1185	1585	1113	774	1105	923	471	194	417	674	2886	1115	98	157	101	1117	325	231	54	89
ENSG00000255045	2	1	6	3	4	3	3	0	2	0	18	0	0	0	0	4	5	1	1	4
ENSG00000019102	1269	588	1634	1513	1004	609	113	12	358	339	438	61	14	333	121	403	549	135	1	78
ENSG00000149564	2433	1121	2689	4337	2476	1216	2776	1021	1677	2377	1418	2107	206	165	339	2085	2051	189	219	918
ENSG00000250073	87	23	62	133	35	24	71	16	24	23	26	53	3	3	1	46	46	9	1	23
ENSG00000120458	142	91	108	184	121	142	331	111	174	168	212	181	98	36	121	210	171	42	115	210
ENSG00000279342	9	10	6	2	3	11	27	22	17	11	42	6	11	1	14	30	18	0	17	17
ENSG00000254509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245498	63	17	21	17	26	13	23	19	23	17	9	30	1	14	7	16	28	13	19	14
ENSG00000254941	25	13	11	6	21	5	18	5	7	10	8	7	5	2	1	11	12	8	7	6
ENSG00000154134	104	363	199	92	152	149	616	363	185	171	171	22	107	135	95	297	157	45	16	107
ENSG00000254568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154133	2004	700	1138	2252	1929	1134	1708	529	1318	2347	613	142	112	163	192	1514	1711	155	123	593
ENSG00000254943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165478	1	26	0	0	2	0	40	43	2	1	3	0	0	0	0	5	4	21	0	0
ENSG00000221932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149548	46	31	7	36	31	29	26	22	41	21	25	43	32	34	77	35	33	27	38	62
ENSG00000134955	667	827	454	434	320	2011	258	95	1134	1606	908	551	565	437	1140	492	583	353	317	351
ENSG00000150433	230	180	333	644	300	234	375	157	286	214	272	287	205	171	236	289	281	103	194	303
ENSG00000187686	0	3	0	0	4	1	3	1	0	0	1	1	5	0	0	1	3	10	2	0
ENSG00000255475	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0
ENSG00000254880	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0
ENSG00000165495	260	201	149	320	904	191	136	202	204	290	164	34	63	3	28	519	189	40	15	87
ENSG00000259290	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000254932	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
